Strategy,Price_Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Total Value % Increase,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
All in,Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,74.1962,9563.3837,-4.3662,-436.6163,80.5063,47.5654,-4.3732,-32.9409,1,30.0,-436.6163,-4.3732,0.2306,0.151,50.43
All in,Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,13.4995,27338.9508,173.3895,17338.9508,862.5143,695.5405,312.4593,-166.9737,1,30.0,17338.9508,312.4593,1.0341,0.129,663.93
All in top,2018-2021_price_data.csv,2963.4641,493.4676,10000.0,0.0,0.0,2.0502,7619.8851,-23.8011,-2380.1149,-0.129,0.0,-5.9503,0.129,1,30.0,-2380.1149,-5.9503,-4.3193,-2.227,1194.43
All in top,2018_price_data.csv,-618.9297,17.8229,10000.0,0.0,0.0,7.0139,941.5238,-90.5848,-9058.4762,-167.7571,-128.481,-90.6472,39.2761,1,30.0,-9058.4762,-90.6472,-1.6455,-1.6979,296.85
All in top,2019-2021_price_data.csv,3582.2565,2765.8943,10000.0,0.0,0.0,2.0502,7619.8851,-23.8011,-2380.1149,-0.2306,0.0,-7.9319,0.2306,1,30.0,-2380.1149,-7.9319,-2.8995,-1.7251,1334.9
All in top,2019_price_data.csv,-4.2804,96.8145,10000.0,0.0,0.0,27.3864,3562.7887,-64.3721,-6437.2113,-33.3444,-35.6801,-64.4164,-2.3357,1,30.0,-6437.2113,-64.4164,-1.0955,-3.4138,50.43
All in top,2020-2021_price_data.csv,3586.5442,2857.0597,10000.0,0.0,0.0,2.0502,7619.8851,-23.8011,-2380.1149,-0.5237,0.0,-11.8925,0.5237,1,30.0,-2380.1149,-11.8925,-1.7261,-1.2553,1434.12
All in top,2020_price_data.csv,607.4837,566.9868,10000.0,0.0,0.0,13.1802,9721.278,-2.7872,-278.722,-0.0091,0.0,-2.7815,0.0091,1,30.0,-278.722,-2.7815,-20.0349,-3.7757,143.55
All in top,2021_price_data.csv,2978.0852,503.2369,10000.0,0.0,0.0,2.0502,7619.8851,-23.8011,-2380.1149,-2.169,0.0,-23.8175,2.169,1,30.0,-2380.1149,-23.8175,-0.8993,-0.9198,1025.37
All in top,2022_price_data.csv,-1919.3425,48.2828,10000.0,0.0,0.0,2.5639,4594.2564,-54.0574,-5405.7436,-202.7909,-131.5867,-124.6785,71.2042,1,30.0,-5405.7436,-124.6785,-1.0869,-1.0889,493.64
All in top,High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,7.0139,924.8359,-90.7516,-9075.1641,-250.9941,-140.9121,-94.1131,110.082,1,30.0,-9075.1641,-94.1131,-0.6563,-0.6562,278.36
All in top,High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,2.2822,4621.8177,-53.7818,-5378.1823,-392.7168,-384.6212,-246.872,8.0956,1,30.0,-5378.1823,-246.872,-1.819,-2.1781,633.59
All in top,High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,2.8889,9853.2375,-1.4676,-146.7625,-0.0004,0.0,-0.4442,0.0004,1,30.0,-146.7625,-0.4442,-123.2009,-6.7439,503.92
All in top,High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,2.0502,7619.8851,-23.8011,-2380.1149,-5.1133,0.0,-35.94,5.1133,1,30.0,-2380.1149,-35.94,-0.7673,-0.9565,823.2
All in top,Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,2.8889,9853.2375,-1.4676,-146.7625,-0.0026,0.0,-1.096,0.0026,1,30.0,-146.7625,-1.096,-32.2094,-2.8651,682.82
All in top,Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,2.0502,7619.8851,-23.8011,-2380.1149,-11.9996,0.0,-53.559,11.9996,1,30.0,-2380.1149,-53.559,-0.7901,-1.1777,637.56
